pair,date,date_unix,high,low,avg
BTCEUR,2025-02-05,1738713600,95345.7,92500.0,93922.85
BTCEUR,2025-02-06,1738800000,95708.5,92245.4,93976.95
BTCEUR,2025-02-07,1738886400,96475.2,92671.5,94573.35
BTCEUR,2025-02-08,1738972800,93902.1,92843.1,93372.6
BTCEUR,2025-02-09,1739059200,94280.4,92125.2,93202.8
BTCEUR,2025-02-10,1739145600,95291.7,92522.0,93906.85
BTCEUR,2025-02-11,1739232000,95538.0,91532.1,93535.05
BTCEUR,2025-02-12,1739318400,94434.3,91234.1,92834.2
BTCEUR,2025-02-13,1739404800,94280.0,91406.0,92843.0
BTCEUR,2025-02-14,1739491200,94080.0,91800.0,92940.0
BTCEUR,2025-02-15,1739577600,93409.6,92755.9,93082.75
BTCEUR,2025-02-16,1739664000,93200.0,92150.0,92675.0
BTCEUR,2025-02-17,1739750400,92582.9,90899.9,91741.4
BTCEUR,2025-02-18,1739836800,92500.0,89438.4,90969.2
BTCEUR,2025-02-19,1739923200,92667.8,90927.9,91797.85
BTCEUR,2025-02-20,1740009600,93997.0,92474.0,93235.5
BTCEUR,2025-02-21,1740096000,94975.4,90659.9,92817.65
BTCEUR,2025-02-22,1740182400,92690.7,91605.4,92148.05
BTCEUR,2025-02-23,1740268800,92449.9,91112.8,91781.35
BTCEUR,2025-02-24,1740355200,92099.4,88333.0,90216.2
BTCEUR,2025-02-25,1740441600,88360.1,81818.0,85089.05
BTCEUR,2025-02-26,1740528000,85007.0,78300.0,81653.5
BTCEUR,2025-02-27,1740614400,83000.0,79410.0,81205.0
BTCEUR,2025-02-28,1740700800,81986.7,75200.0,78593.35
BTCEUR,2025-03-01,1740787200,83397.2,80770.5,82083.85
